config,mode,seed,completed,steps_executed,diverged,disposed,remaining_green,remaining_yellow,remaining_red,remaining_total,messages_total
C1_balanced_small,step1_no_communication,100,True,119,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,100,True,95,False,5,0,0,0,0,77
C1_balanced_small,step3_orchestrator_nearest,100,True,79,False,5,0,0,0,0,75
C1_balanced_small,step3_orchestrator_uncertainty,100,True,91,False,5,0,0,0,0,85
C1_balanced_small,step1_no_communication,101,True,212,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,101,True,135,False,5,0,0,0,0,104
C1_balanced_small,step3_orchestrator_nearest,101,True,99,False,5,0,0,0,0,85
C1_balanced_small,step3_orchestrator_uncertainty,101,True,95,False,5,0,0,0,0,85
C1_balanced_small,step1_no_communication,102,True,198,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,102,True,89,False,5,0,0,0,0,88
C1_balanced_small,step3_orchestrator_nearest,102,True,89,False,5,0,0,0,0,89
C1_balanced_small,step3_orchestrator_uncertainty,102,True,94,False,5,0,0,0,0,84
C1_balanced_small,step1_no_communication,103,True,166,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,103,True,92,False,5,0,0,0,0,78
C1_balanced_small,step3_orchestrator_nearest,103,True,96,False,5,0,0,0,0,95
C1_balanced_small,step3_orchestrator_uncertainty,103,True,90,False,5,0,0,0,0,77
C1_balanced_small,step1_no_communication,104,True,217,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,104,True,100,False,5,0,0,0,0,91
C1_balanced_small,step3_orchestrator_nearest,104,True,90,False,5,0,0,0,0,77
C1_balanced_small,step3_orchestrator_uncertainty,104,True,107,False,5,0,0,0,0,105
C1_balanced_small,step1_no_communication,105,True,267,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,105,True,101,False,5,0,0,0,0,89
C1_balanced_small,step3_orchestrator_nearest,105,True,93,False,5,0,0,0,0,97
C1_balanced_small,step3_orchestrator_uncertainty,105,True,77,False,5,0,0,0,0,85
C1_balanced_small,step1_no_communication,106,True,335,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,106,True,109,False,5,0,0,0,0,82
C1_balanced_small,step3_orchestrator_nearest,106,True,85,False,5,0,0,0,0,76
C1_balanced_small,step3_orchestrator_uncertainty,106,True,77,False,5,0,0,0,0,76
C1_balanced_small,step1_no_communication,107,True,122,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,107,True,92,False,5,0,0,0,0,80
C1_balanced_small,step3_orchestrator_nearest,107,True,95,False,5,0,0,0,0,95
C1_balanced_small,step3_orchestrator_uncertainty,107,True,77,False,5,0,0,0,0,78
C1_balanced_small,step1_no_communication,108,True,114,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,108,True,84,False,5,0,0,0,0,67
C1_balanced_small,step3_orchestrator_nearest,108,True,86,False,5,0,0,0,0,88
C1_balanced_small,step3_orchestrator_uncertainty,108,True,86,False,5,0,0,0,0,73
C1_balanced_small,step1_no_communication,109,True,158,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,109,True,84,False,5,0,0,0,0,76
C1_balanced_small,step3_orchestrator_nearest,109,True,69,False,5,0,0,0,0,77
C1_balanced_small,step3_orchestrator_uncertainty,109,True,91,False,5,0,0,0,0,93
C1_balanced_small,step1_no_communication,110,True,112,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,110,True,76,False,5,0,0,0,0,75
C1_balanced_small,step3_orchestrator_nearest,110,True,76,False,5,0,0,0,0,84
C1_balanced_small,step3_orchestrator_uncertainty,110,True,72,False,5,0,0,0,0,73
C1_balanced_small,step1_no_communication,111,True,152,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,111,True,108,False,5,0,0,0,0,92
C1_balanced_small,step3_orchestrator_nearest,111,True,86,False,5,0,0,0,0,81
C1_balanced_small,step3_orchestrator_uncertainty,111,True,84,False,5,0,0,0,0,80
C1_balanced_small,step1_no_communication,112,True,150,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,112,True,79,False,5,0,0,0,0,73
C1_balanced_small,step3_orchestrator_nearest,112,True,77,False,5,0,0,0,0,73
C1_balanced_small,step3_orchestrator_uncertainty,112,True,77,False,5,0,0,0,0,78
C1_balanced_small,step1_no_communication,113,True,273,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,113,True,125,False,5,0,0,0,0,74
C1_balanced_small,step3_orchestrator_nearest,113,True,103,False,5,0,0,0,0,93
C1_balanced_small,step3_orchestrator_uncertainty,113,True,101,False,5,0,0,0,0,96
C1_balanced_small,step1_no_communication,114,True,209,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,114,True,89,False,5,0,0,0,0,70
C1_balanced_small,step3_orchestrator_nearest,114,True,78,False,5,0,0,0,0,75
C1_balanced_small,step3_orchestrator_uncertainty,114,True,83,False,5,0,0,0,0,89
C1_balanced_small,step1_no_communication,115,True,150,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,115,True,89,False,5,0,0,0,0,65
C1_balanced_small,step3_orchestrator_nearest,115,True,91,False,5,0,0,0,0,94
C1_balanced_small,step3_orchestrator_uncertainty,115,True,81,False,5,0,0,0,0,87
C1_balanced_small,step1_no_communication,116,True,148,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,116,True,102,False,5,0,0,0,0,98
C1_balanced_small,step3_orchestrator_nearest,116,True,92,False,5,0,0,0,0,81
C1_balanced_small,step3_orchestrator_uncertainty,116,True,94,False,5,0,0,0,0,95
C1_balanced_small,step1_no_communication,117,True,205,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,117,True,93,False,5,0,0,0,0,71
C1_balanced_small,step3_orchestrator_nearest,117,True,88,False,5,0,0,0,0,75
C1_balanced_small,step3_orchestrator_uncertainty,117,True,85,False,5,0,0,0,0,76
C1_balanced_small,step1_no_communication,118,True,147,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,118,True,106,False,5,0,0,0,0,88
C1_balanced_small,step3_orchestrator_nearest,118,True,91,False,5,0,0,0,0,91
C1_balanced_small,step3_orchestrator_uncertainty,118,True,78,False,5,0,0,0,0,72
C1_balanced_small,step1_no_communication,119,True,208,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,119,False,500,True,3,5,0,0,5,325
C1_balanced_small,step3_orchestrator_nearest,119,True,98,False,5,0,0,0,0,95
C1_balanced_small,step3_orchestrator_uncertainty,119,True,86,False,5,0,0,0,0,81
C2_green_heavy,step1_no_communication,1100,True,172,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1100,True,181,False,8,0,0,0,0,164
C2_green_heavy,step3_orchestrator_nearest,1100,True,116,False,7,0,0,0,0,127
C2_green_heavy,step3_orchestrator_uncertainty,1100,True,113,False,7,0,0,0,0,119
C2_green_heavy,step1_no_communication,1101,True,251,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1101,True,87,False,7,0,0,0,0,108
C2_green_heavy,step3_orchestrator_nearest,1101,True,107,False,7,0,0,0,0,138
C2_green_heavy,step3_orchestrator_uncertainty,1101,True,99,False,7,0,0,0,0,126
C2_green_heavy,step1_no_communication,1102,True,195,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1102,True,108,False,7,0,0,0,0,131
C2_green_heavy,step3_orchestrator_nearest,1102,True,97,False,7,0,0,0,0,118
C2_green_heavy,step3_orchestrator_uncertainty,1102,True,105,False,7,0,0,0,0,127
C2_green_heavy,step1_no_communication,1103,True,250,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1103,True,95,False,7,0,0,0,0,89
C2_green_heavy,step3_orchestrator_nearest,1103,True,94,False,7,0,0,0,0,113
C2_green_heavy,step3_orchestrator_uncertainty,1103,True,104,False,7,0,0,0,0,127
C2_green_heavy,step1_no_communication,1104,True,289,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1104,True,97,False,7,0,0,0,0,115
C2_green_heavy,step3_orchestrator_nearest,1104,True,99,False,7,0,0,0,0,112
C2_green_heavy,step3_orchestrator_uncertainty,1104,True,95,False,7,0,0,0,0,118
C2_green_heavy,step1_no_communication,1105,True,367,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1105,True,109,False,7,0,0,0,0,112
C2_green_heavy,step3_orchestrator_nearest,1105,True,103,False,7,0,0,0,0,108
C2_green_heavy,step3_orchestrator_uncertainty,1105,True,113,False,7,0,0,0,0,129
C2_green_heavy,step1_no_communication,1106,True,294,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1106,True,134,False,7,0,0,0,0,133
C2_green_heavy,step3_orchestrator_nearest,1106,True,108,False,7,0,0,0,0,116
C2_green_heavy,step3_orchestrator_uncertainty,1106,True,98,False,7,0,0,0,0,118
C2_green_heavy,step1_no_communication,1107,True,166,False,7,0,0,0,0,0
