config,mode,runs,completed_count,diverged_count,completion_rate_pct,steps_mean,steps_stdev,disposed_mean,disposed_stdev,remaining_mean,remaining_stdev,messages_mean,messages_stdev
C1_balanced_small,step1_no_communication,20,20,0,100.0,183.1,59.14291344300106,5,0.0,0,0.0,0,0.0
C1_balanced_small,step2_communication,20,19,1,95.0,117.4,91.21253376477091,4.9,0.4472135954999579,0.25,1.118033988749895,93.15,55.56340617045681
C1_balanced_small,step3_orchestrator_nearest,20,20,0,100.0,88.05,8.726698296486177,5,0.0,0,0.0,84.8,8.382940069601256
C1_balanced_small,step3_orchestrator_uncertainty,20,20,0,100.0,86.3,9.06758251308357,5,0.0,0,0.0,83.4,8.816252933614921
C2_green_heavy,step1_no_communication,20,20,0,100.0,240.65,69.00135391501578,7,0.0,0,0.0,0,0.0
C2_green_heavy,step2_communication,20,20,0,100.0,111.85,22.23149733338289,7.1,0.30779350562554625,0,0.0,119.65,16.871885677534372
C2_green_heavy,step3_orchestrator_nearest,20,20,0,100.0,106.05,14.471296453760857,7,0.0,0,0.0,123,12.0
C2_green_heavy,step3_orchestrator_uncertainty,20,20,0,100.0,110.6,24.896416990148772,7,0.0,0,0.0,126,19.029063643750177
C3_pipeline_strong,step1_no_communication,20,20,0,100.0,158.2,57.83697597103158,7,0.0,0,0.0,0,0.0
C3_pipeline_strong,step2_communication,20,20,0,100.0,95.8,18.057218996698712,7.15,0.36634754853252327,0,0.0,111.35,16.342630722970167
C3_pipeline_strong,step3_orchestrator_nearest,20,20,0,100.0,84.9,10.91064183552727,7,0.0,0,0.0,106.15,8.731521842394402
C3_pipeline_strong,step3_orchestrator_uncertainty,20,20,0,100.0,91,19.12287139857181,7,0.0,0,0.0,111.15,10.589344197178397
C4_red_limited,step1_no_communication,20,17,3,85.0,311.65,129.1630039095846,4.8,0.5231483637805969,0.2,0.5231483637805969,0,0.0
C4_red_limited,step2_communication,20,16,4,80.0,244.8,157.8118800144153,5.15,0.4893604849295929,0.5,1.1002392084403616,186.3,145.23885952385288
C4_red_limited,step3_orchestrator_nearest,20,20,0,100.0,121.45,39.704798861492534,5,0.0,0,0.0,73.75,6.290134296951394
C4_red_limited,step3_orchestrator_uncertainty,20,20,0,100.0,113.35,27.282681995033137,5,0.0,0,0.0,74.45,6.6449426752903396
